customer_id,name,email,phone,gender,age,city,state,signup_date
a159097f-26e4-4d1e-9ff4-c7f753348d9f,Kimberly Perry,woodgabriel@taylor-grimes.net,+1-195-063-0571x479,Male,26,West Caleb,Rhode Island,2024-03-21
612bb090-0b52-43a1-8ab2-827fe5a6dc1f,Michelle Day,michelle67@hotmail.com,001-233-993-3633x757,Male,56,New David,Illinois,2025-08-01
f1e76a74-96de-48f1-9ff0-5abc7ed55438,Adam Jones,lewisamber@hotmail.com,(338)207-7753,Male,19,Knightfurt,Minnesota,2025-08-03
e97fbd2c-8c65-4a0e-a982-17377081a298,Frank Wilkins,melaniesilva@garner.biz,(891)613-9233x77887,Female,46,East Robin,South Carolina,2025-07-17
364d4c8f-7123-475d-8263-8cc4ba9cb058,Ashley Duncan,laura17@yahoo.com,059-176-3731x09161,Male,36,Lake Brian,Arizona,2024-05-26
8a57b55c-2eac-40cb-8678-060f232d5a7b,Leslie Mcdaniel,brittney76@owens.biz,985-091-0078x1198,Female,27,West Traciefurt,Wyoming,2024-09-05
b2edaee6-4921-4ed3-b8d5-3ed3d9f8559e,David Cruz,kelseywarner@bird-byrd.info,886.697.3483x9790,Male,37,New Tammy,Delaware,2025-03-05
5ed02a43-345b-4537-9fac-5713e29e2157,Sarah Summers,lkim@gmail.com,956.244.1160x823,Female,52,West Jeremiahton,Colorado,2025-02-07
be4de40f-0599-421e-a980-a3266cc89a9f,Emily Sandoval,rachel95@gmail.com,001-747-123-8913x43699,Male,29,Kingfurt,Utah,2025-11-01
50ec244a-7917-49e7-a28d-b3df2a0eca99,Zachary Hardy,hmason@yahoo.com,2570575378,Female,44,Reneebury,Pennsylvania,2024-03-14
1029c408-4271-4c60-b262-c2d3e42c1ed6,John Schneider,christophersmith@gmail.com,519.981.3404x922,Female,26,East Abigailport,Rhode Island,2025-07-02
7298bef2-f9db-4f06-a498-4f2424ad21b2,Eric Ruiz,millerann@jones-johnson.com,948.519.8344,Female,54,Tylerstad,Minnesota,2025-03-27
9c5be33c-1a3f-4b36-88c1-0bcdfeeef5d1,Justin Day,brookslaura@white.com,754-196-9749x25001,Male,22,New Meredithmouth,Wisconsin,2024-06-22
f4c74b62-c59b-470f-ba02-77b7d0a79503,Sydney Hoffman,elliottdarlene@gibson.info,(715)784-3207,Male,33,Bakertown,North Dakota,2023-12-09
7c3a8fed-b92d-456c-857b-2f077fd46000,Jill Brown,christopher36@hotmail.com,290.376.0143x1279,Male,32,South Vanessa,Mississippi,2025-02-24
3148b58f-982e-4999-8e46-6ce8611281b7,Isabella Thomas,danielleflores@smith.org,920-450-6285,Male,43,South Jason,Nebraska,2025-01-07
8e323f9b-64a8-493e-a31e-5e549c1bccd9,Nathaniel Bradley,sblair@holt.org,001-917-623-0091x6866,Female,26,Port Russell,Hawaii,2025-06-11
c99300c2-69c6-460d-b12a-716483e22466,David Barber,brian05@hotmail.com,+1-279-446-8043x1219,Female,53,East Tonya,Wisconsin,2024-12-24
9f456f09-c322-407c-82f8-3bdb01a0e061,Veronica Le,nathangoodman@terry-hunter.net,956.532.7852,Female,29,Stephensonton,North Dakota,2024-11-08
9c5d3458-c961-4967-af81-165dc0527a3b,Taylor Galvan,melanielee@yahoo.com,(253)877-0316,Female,44,South Ashleyport,Indiana,2024-09-28
